R,sphere,ball
0.25,0.998735,0.998495
0.5,0.9926819597,0.994364872
0.75,0.987145,0.990708
1,0.97578979,0.9730539191
1.25,0.957638,0.970003
1.5,0.9303399405,0.9424060462
1.75,0.900533,0.922206
2,0.8733091474,0.9240988302
2.25,0.883124,0.901037
2.5,0.8792633363,0.9353271898
2.75,0.7919773161,0.9043367873
3,0.7528156866,0.8582685987
3.25,0.7416449768,0.8359005618
3.5,0.7372269274,0.7832321486
3.75,0.8013845249,0.7856727927
4,0.7568199691,0.7654079095
4.25,0.718131115,0.821078608
4.5,0.6271150845,0.8154007694
4.75,0.5722975346,0.7465485191
5,0.765526752,0.7079414284
5.25,0.5309927279,0.7894115116
5.5,0.5793183064,0.7064189684
5.75,0.6139932008,0.7014643475
6,0.5076126447,0.6939812338
6.25,0.6134387869,0.7621713567
6.5,0.5332807402,0.7284299223
6.75,0.5129394056,0.6647297066
7,0.6972194937,0.69891452
7.25,0.6488444931,0.6572585297
7.5,0.5827231727,0.6998425137
7.75,0.6611026507,0.6837944855
8,0.6402253189,0.6459099152
8.25,0.5961910214,0.6455132332
8.5,0.6484806562,0.6612887912
8.75,0.6645709321,0.6708160662
9,0.5931855697,0.6524695781
9.25,0.6228404057,0.6764000458
9.5,0.6087982172,0.6547969668
9.75,0.5884919118,0.6899865952
10,0.6322111706,0.650616016
